contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
American Academy of Family Physicians,296800,158800,138000,0,0,0,Leans Democrat,Physicians & Other Health Professionals
American Academy of Ophthalmology,295173,129663,163000,0,0,0,Leans Republican,Physicians & Other Health Professionals
American Podiatric Medical Assn,290500,154500,136000,0,0,0,Leans Democrat,Physicians & Other Health Professionals
American Medical Assn,288134,176573,111522,32400,0,0,Leans Democrat,Physicians & Other Health Professionals
American College of Cardiology,286093,148553,137540,0,0,0,Leans Democrat,Physicians & Other Health Professionals
National Community Pharmacists Assn,269000,120500,146000,0,0,0,Leans Republican,Physicians & Other Health Professionals
Eye Surgery Assoc (Florida),259800,19800,0,240000,0,0,Leans Liberal,Physicians & Other Health Professionals
Carpenters & Joiners Union,19423330,989528,73734,18360818,0,0,Leans Liberal,Construction Unions
Laborers Union,2889263,1039109,91390,1791164,0,0,Leans Liberal,Construction Unions
Operating Engineers Union,2062643,841294,216219,1057400,0,0,Leans Liberal,Construction Unions
Sheet Metal Air Rail & Transportation Union,1323325,1197000,24000,120000,0,0,Leans Democrat,Construction Unions
Plumbers/Pipefitters Union,1232452,577232,80062,570124,0,3005,Leans Democrat,Construction Unions
Bricklayers Union,908200,408050,0,500150,0,0,Leans Liberal,Construction Unions
Carpenters Union/Northern California,716666,0,0,716666,0,0,Leans Liberal,Construction Unions
Painters & Allied Trades Union,557482,443980,38502,80000,0,0,Leans Democrat,Construction Unions
California State Council of Laborers,548251,0,0,548251,0,0,Leans Liberal,Construction Unions
Ironworkers Union,310510,245942,64243,0,230,1100,Leans Democrat,Construction Unions
International Union of Elevator Constructors,257115,186615,70500,0,0,0,Leans Democrat,Construction Unions
United Assn Political Issues Fund,250000,0,0,250000,0,0,Leans Liberal,Construction Unions
Illinois Laborers Legislative Cmte,220417,0,0,220417,0,0,Leans Liberal,Construction Unions
Insulators Union,157350,152350,5000,0,0,0,Leans Democrat,Construction Unions
Western States Regional Council of Carpenters,150796,796,0,150000,0,0,Leans Liberal,Construction Unions
Laborers Political League/Great Lakes Region,150000,0,0,150000,0,0,Leans Liberal,Construction Unions
AFL-CIO,116955,83455,33500,0,0,0,Leans Democrat,Construction Unions
Build New England Fund,100000,0,0,100000,0,0,Leans Liberal,Construction Unions
Northwest Regional Organizing Coalition,80000,0,0,80000,0,0,Leans Liberal,Construction Unions
Sheet Metal Workers Union Local 25,50000,0,0,50000,0,0,Leans Liberal,Construction Unions
Abbott Laboratories,4535511,249093,273952,1250,4000100,0,Leans Conservative,Health
Farrington Rocket LLC,3000000,0,0,0,3000000,0,Leans Conservative,Health
Starkey Hearing Technologies,1540886,188086,1352800,0,0,0,Leans Republican,Health
Greater New York Hospital Assn,1146564,137964,8600,1000000,0,0,Leans Liberal,Health
Unitedhealth Group,1145121,429870,603245,26943,100000,0,Leans Republican,Health
Curai Health,1000150,0,150,1000000,0,0,Leans Liberal,Health
American Hospital Assn,977303,512613,459675,500,0,0,Leans Democrat,Health
DaVita Inc,935136,279224,288705,132,30000,345000,On the fence,Health
Massachusetts General Hospital,874507,850224,9657,45790,0,0,Leans Democrat,Health
American Society of Anesthesiologists,862201,443175,419026,0,0,0,Leans Democrat,Health
American Assn of Orthopaedic Surgeons,834500,385500,449000,0,0,0,Leans Republican,Health
Blue Cross/Blue Shield,823247,435247,374779,51525,1000,0,Leans Democrat,Health
American Optometric Assn,822900,377750,445150,0,0,0,Leans Republican,Health
Kaiser Permanente,782070,630980,106679,21987,1875,0,Leans Democrat,Health
Pfizer Inc,778410,432631,327140,41442,0,0,Leans Democrat,Health
DE Shaw Research,760668,60627,0,700000,0,0,Leans Liberal,Health
American Dental Assn,682536,326033,356075,32400,103,0,Leans Republican,Health
Nextgen Management,631030,0,581030,0,100000,0,Leans Republican,Health
Chicago Pacific Founders,626700,0,76700,0,550000,0,Leans Conservative,Health
Transcarent,608617,388516,101,20000,0,200000,Leans Democrat,Health
Susquehanna International Group,46933414,35495,350988,0,46418281,125000,Leans Conservative,"Finance, Insurance & Real Estate"
Citadel LLC,30591837,9864,986723,0,29505000,90000,Leans Conservative,"Finance, Insurance & Real Estate"
Coinbase,26418862,177170,179582,2520000,2000000,21510000,On the fence,"Finance, Insurance & Real Estate"
Ripple,24440412,252805,87207,2556757,1600000,20000000,On the fence,"Finance, Insurance & Real Estate"
Andreessen Horowitz,22865925,222500,115125,1775000,1500000,19250000,On the fence,"Finance, Insurance & Real Estate"
Elliott Management,15493214,158336,1534178,0,12750000,1000000,Leans Conservative,"Finance, Insurance & Real Estate"
Greylock Partners,15377631,1444210,147521,9168500,550000,4050000,Leans Liberal,"Finance, Insurance & Real Estate"
Stephens Inc,11476764,500,1566264,0,10033900,0,Leans Conservative,"Finance, Insurance & Real Estate"
Lone Pine Capital,9250400,2052200,0,7185000,0,0,Leans Liberal,"Finance, Insurance & Real Estate"
Sequoia Capital,6177820,67920,1609900,2500000,2000000,0,Leans Liberal,"Finance, Insurance & Real Estate"
Blackstone Group,5970215,1232279,1514011,250,2900000,0,Leans Conservative,"Finance, Insurance & Real Estate"
McMahon Ventures,5383105,0,133105,0,5250000,0,Leans Conservative,"Finance, Insurance & Real Estate"
Sherman Financial Group,5378450,0,128450,0,5250000,0,Leans Conservative,"Finance, Insurance & Real Estate"
Hendricks Holding Co,5339900,0,339900,0,5000000,0,Leans Conservative,"Finance, Insurance & Real Estate"
Winklevoss Capital Management,5316000,39600,76400,0,200000,5000000,On the fence,"Finance, Insurance & Real Estate"
Jump Crypto,5000000,0,0,0,0,5000000,On the fence,"Finance, Insurance & Real Estate"
Euclidean Capital,4922000,422000,0,4500000,0,0,Leans Liberal,"Finance, Insurance & Real Estate"
Jane Street Capital,4527382,786801,968860,510000,2000000,250000,Leans Conservative,"Finance, Insurance & Real Estate"
Renaissance Technologies,3746627,733967,12660,3000000,0,0,Leans Liberal,"Finance, Insurance & Real Estate"
Apollo Global Management,3726549,873039,1116010,500,1711500,0,Leans Conservative,"Finance, Insurance & Real Estate"
Davisco Foods International,236700,0,236700,0,0,0,Leans Republican,Dairy
Dairy Farmers of America,191464,70315,121019,0,0,0,Leans Republican,Dairy
National Milk Producers Federation,120251,42250,77001,0,0,0,Leans Republican,Dairy
California Dairies Inc,114490,40500,73990,10000,0,0,Leans Republican,Dairy
International Dairy Foods Assn,57294,28535,28759,0,0,0,Leans Republican,Dairy
Agrivision Farm Management,29900,0,29900,0,0,0,Leans Republican,Dairy
Stonyfield Farm,26560,26560,0,0,0,0,Leans Democrat,Dairy
Wells Enterprises,25727,335,25392,0,0,0,Leans Republican,Dairy
Western United Dairymen,25700,23200,2500,16200,0,0,Leans Democrat,Dairy
Kreider Farms,20000,0,20000,0,0,0,Leans Republican,Dairy
Davis Family Holdings,18300,0,18300,0,0,0,Leans Republican,Dairy
Associated Milk Producers,17300,9300,8000,0,0,0,Leans Democrat,Dairy
Fair Oaks Farms,13215,8,13207,0,0,0,Leans Republican,Dairy
Darigold,12944,1355,11589,0,0,0,Leans Republican,Dairy
Land O'Lakes,11291,8469,2795,0,0,0,Leans Democrat,Dairy
Rancho Teresita Dairy,10500,10000,500,5000,0,0,Leans Democrat,Dairy
Mrv Dairy Solutions,10077,0,2445,0,0,0,Leans Republican,Dairy
Legacy Farms,9606,0,9606,0,0,0,Leans Republican,Dairy
Vander Schaaf Dairy,8906,0,8906,0,0,0,Leans Republican,Dairy
Borba Dairy,7000,1000,6000,0,0,0,Leans Republican,Dairy
Maryland & Virginia Milk Producers Co-op,7000,0,7000,0,0,0,Leans Republican,Dairy
Uline Inc,37432438,2472,2128165,0,35298418,0,Leans Conservative,Misc Manufacturing & Distributing
New Balance Athletics,4154554,4815,299200,500,3850000,0,Leans Conservative,Misc Manufacturing & Distributing
Haworth Inc,4135891,905,41556,0,4093400,0,Leans Conservative,Misc Manufacturing & Distributing
Next Generation Films,1262200,0,263200,0,999000,0,Leans Conservative,Misc Manufacturing & Distributing
Bruker Corp,1219332,11800,9556,0,1197126,850,Leans Conservative,Misc Manufacturing & Distributing
Honeywell International,1200224,618668,578860,355,79,0,Leans Democrat,Misc Manufacturing & Distributing
Melaleuca Inc,1016325,401,1015651,0,0,0,Leans Republican,Misc Manufacturing & Distributing
Honor Nyc,762146,487146,0,275000,0,0,Leans Democrat,Misc Manufacturing & Distributing
Scheels All Sports,518058,200,17858,0,500000,0,Leans Conservative,Misc Manufacturing & Distributing
Guess? Inc,500000,0,0,0,0,500000,On the fence,Misc Manufacturing & Distributing
Maclean-Fogg Co,474330,28,174277,0,358700,0,Leans Conservative,Misc Manufacturing & Distributing
Estee Lauder Companies,425493,120984,279234,0,0,0,Leans Republican,Misc Manufacturing & Distributing
Nike Inc,389331,230517,153004,2898,0,585,Leans Democrat,Misc Manufacturing & Distributing
U-Line Corp,377200,0,377200,0,0,0,Leans Republican,Misc Manufacturing & Distributing
DSB Technologies,374825,0,124825,0,250000,0,Leans Conservative,Misc Manufacturing & Distributing
Ashley Furniture,372119,905,371214,0,0,0,Leans Republican,Misc Manufacturing & Distributing
3M Co,325563,81594,91628,700,150000,0,Leans Conservative,Misc Manufacturing & Distributing
Airtech International,324942,0,324942,0,0,0,Leans Republican,Misc Manufacturing & Distributing
Techemet Lp,281100,0,196100,0,85000,0,Leans Republican,Misc Manufacturing & Distributing
Johnson Controls International,257492,141972,113780,825,0,0,Leans Democrat,Misc Manufacturing & Distributing
Republic Finance,251538,0,1538,0,250000,0,Leans Conservative,Savings & Loans
Beal Bank (Employees),219945,0,6600,0,213345,0,Leans Conservative,Savings & Loans
Flagstar Bank,81596,15706,62590,0,0,0,Leans Republican,Savings & Loans
Colonial Savings,20039,18656,1383,0,0,0,Leans Democrat,Savings & Loans
Cumberland Security Bank,20000,0,20000,0,0,0,Leans Republican,Savings & Loans
Union Savings Bank (Ohio),16865,15775,1090,0,0,0,Leans Democrat,Savings & Loans
Pathward NA,14536,3850,10686,0,0,0,Leans Republican,Savings & Loans
Community Commerce Bank,11992,11964,0,0,0,0,Leans Democrat,Savings & Loans
Oceanfirst Bank,11061,5000,3561,0,0,0,Leans Democrat,Savings & Loans
Wsfs Bank,6339,977,5142,215,0,0,Leans Republican,Savings & Loans
Sierra Pacific Industries,322739,72954,245935,32400,10000,0,Leans Republican,Forestry & Forest Products
International Paper,319823,126803,188708,0,0,0,Leans Republican,Forestry & Forest Products
Weyerhaeuser Co,179432,69684,107198,0,0,0,Leans Republican,Forestry & Forest Products
Lee Timber Co (Mississippi),114200,0,14200,0,100000,0,Leans Conservative,Forestry & Forest Products
American Forest & Paper Assn,106201,44401,59300,0,0,0,Leans Republican,Forestry & Forest Products
National Alliance of Forest Owners,80500,23000,52500,0,0,0,Leans Republican,Forestry & Forest Products
Hardwood Federation,71000,25500,44500,0,0,0,Leans Republican,Forestry & Forest Products
Richmark Label,69312,9300,0,0,0,60000,On the fence,Forestry & Forest Products
Green Diamond Resource Co,63600,56100,7500,30000,0,0,Leans Democrat,Forestry & Forest Products
Resource Management Service LLC,56112,8103,44211,0,0,0,Leans Republican,Forestry & Forest Products
Koch Industries,56000,0,56000,0,0,0,Leans Republican,Forestry & Forest Products
PotlatchDeltic Corp,52236,8010,42726,0,0,0,Leans Republican,Forestry & Forest Products
Mckinley Paper,50000,0,0,50000,0,0,Leans Liberal,Forestry & Forest Products
Parsons & Whittemore,47206,47206,0,0,0,0,Leans Democrat,Forestry & Forest Products
Central National-Gottesman Inc,46265,25640,19825,0,0,0,Leans Democrat,Forestry & Forest Products
Lyme Timber,40035,28150,885,11000,0,0,Leans Democrat,Forestry & Forest Products
Southeastern Lumber Manufacturers Assn,40000,4500,34500,0,0,0,Leans Republican,Forestry & Forest Products
Georgia-Pacific LLC,38823,10283,27446,0,0,0,Leans Republican,Forestry & Forest Products
Baskahegan Co,38300,3300,0,35000,0,0,Leans Liberal,Forestry & Forest Products
Rayonier Inc,38114,13863,23251,0,0,0,Leans Republican,Forestry & Forest Products
Scalise for Congress,5059000,0,5059000,0,0,0,Leans Republican,Republican Candidate Committees
Mike Johnson for Louisiana,2862500,0,2862500,0,0,0,Leans Republican,Republican Candidate Committees
Emmer for Congress,1420640,0,1420640,0,0,0,Leans Republican,Republican Candidate Committees
Cathy McMorris Rodgers for Congress,1228057,0,1228057,0,0,0,Leans Republican,Republican Candidate Committees
Hudson for Congress,768050,0,768050,0,0,0,Leans Republican,Republican Candidate Committees
Elise for Congress,718150,0,718150,0,0,0,Leans Republican,Republican Candidate Committees
Guy for Congress,706500,0,706500,0,0,0,Leans Republican,Republican Candidate Committees
McHenry for Congress,602680,0,602680,0,0,0,Leans Republican,Republican Candidate Committees
Friends of Glenn Thompson,470345,0,470345,0,0,0,Leans Republican,Republican Candidate Committees
Nikki Haley for President,453634,0,453634,0,0,0,Leans Republican,Republican Candidate Committees
Vivek 2024,452000,0,452000,0,0,0,Leans Republican,Republican Candidate Committees
Donald J Trump for President 2024,432329,0,432329,0,0,0,Leans Republican,Republican Candidate Committees
Marjorie Greene for Congress,407400,0,407400,0,0,0,Leans Republican,Republican Candidate Committees
Chris Christie for President,395000,0,395000,0,0,0,Leans Republican,Republican Candidate Committees
Binkley for President 2024,385000,0,385000,0,0,0,Leans Republican,Republican Candidate Committees
Texans for Jodey Arrington,358000,0,358000,0,0,0,Leans Republican,Republican Candidate Committees
French Hill for Arkansas,335000,0,335000,0,0,0,Leans Republican,Republican Candidate Committees
Adrian Smith for Congress,319000,0,319000,0,0,0,Leans Republican,Republican Candidate Committees
Ron Estes for Congress,301269,0,301269,0,0,0,Leans Republican,Republican Candidate Committees
Guthrie for Congress,284163,0,284163,0,0,0,Leans Republican,Republican Candidate Committees
Rock Holdings,1129425,516575,606210,0,0,0,Leans Republican,"Banking, Mortgage"
Mortgage Bankers Assn,676410,307900,359010,0,0,0,Leans Republican,"Banking, Mortgage"
21st Mortgage Corp,169749,1346,148377,0,20000,0,Leans Republican,"Banking, Mortgage"
Rocket Companies,139866,64965,74901,0,0,0,Leans Republican,"Banking, Mortgage"
Franklin American Mortgage,139044,140,38904,0,100000,0,Leans Conservative,"Banking, Mortgage"
Headlands Asset Management,120370,370,0,0,120000,0,Leans Conservative,"Banking, Mortgage"
Veterans United Home Loans,107301,44925,62126,0,0,0,Leans Republican,"Banking, Mortgage"
Rocket Mortgage,103257,54752,48330,120,0,0,Leans Democrat,"Banking, Mortgage"
National Assn of Mortgage Brokers,93500,31000,62500,0,0,0,Leans Republican,"Banking, Mortgage"
Crosscountry Mortgage,82369,39497,42469,0,0,0,Leans Republican,"Banking, Mortgage"
Federal Home Loan Bank,81340,51511,28679,150,0,0,Leans Democrat,"Banking, Mortgage"
Association of Independent Mortgage Experts,78500,27000,46500,0,0,0,Leans Republican,"Banking, Mortgage"
Fannie Mae,74920,63007,8239,2500,0,0,Leans Democrat,"Banking, Mortgage"
Enact Holdings,63500,21000,42500,0,0,0,Leans Republican,"Banking, Mortgage"
Liberty Mortgage & Development Co,62900,60600,0,2200,0,0,Leans Democrat,"Banking, Mortgage"
Academy Mortgage,60498,1627,58871,0,0,0,Leans Republican,"Banking, Mortgage"
United Wholesale Mortgage,56525,25525,31000,0,0,0,Leans Republican,"Banking, Mortgage"
RocketLoans,55870,0,55870,0,0,0,Leans Republican,"Banking, Mortgage"
Fairway Independent Mortgage,43795,40750,2295,0,750,0,Leans Democrat,"Banking, Mortgage"
Mortgage Guaranty Insurance Corp,39000,15500,23500,0,0,0,Leans Republican,"Banking, Mortgage"
National Auto Dealers Assn,903560,296060,605000,0,0,0,Leans Republican,Auto Dealers
Pulley Management Services,759900,0,9900,0,750000,0,Leans Conservative,Auto Dealers
Archer Auto Group,442944,0,420564,0,22530,0,Leans Republican,Auto Dealers
Jim Click Automotive,423377,0,423377,0,0,0,Leans Republican,Auto Dealers
Braman Motorcars,375700,8300,17400,0,350000,0,Leans Conservative,Auto Dealers
Billion Automotive,368307,34,368273,0,0,0,Leans Republican,Auto Dealers
Keyes Motors,302900,39700,13200,0,0,250000,On the fence,Auto Dealers
Bob Loquercio Auto Group,299600,0,162800,0,136800,0,Leans Republican,Auto Dealers
Pohanka Automotive Group,267107,10665,206442,0,50000,0,Leans Republican,Auto Dealers
Sewell Automotive,210386,151,160225,0,50000,0,Leans Republican,Auto Dealers
Copart Inc,207996,1317,206594,0,0,0,Leans Republican,Auto Dealers
Suburban Collection,157864,78,124486,0,25000,0,Leans Republican,Auto Dealers
Potamkin Companies,139145,3500,10645,0,125000,0,Leans Conservative,Auto Dealers
Beaman Automotive Group,136700,0,26700,0,110000,0,Leans Conservative,Auto Dealers
Hendrick Automotive Group,135254,236,135018,0,0,0,Leans Republican,Auto Dealers
Fremont Automotive Retailing Group,125500,125500,0,0,0,0,Leans Democrat,Auto Dealers
Clay Cooley Auto Group,123570,0,123570,0,0,0,Leans Republican,Auto Dealers
Baxter Auto Group,113800,0,113800,0,0,0,Leans Republican,Auto Dealers
HUDSON AUTOMOTIVE GROUP,113250,0,13250,0,100000,0,Leans Conservative,Auto Dealers
AutoNation,107605,3608,2854,0,100000,0,Leans Conservative,Auto Dealers
Tepper Sports & Entertainment,2287062,0,37062,0,2250000,0,Leans Conservative,"Recreation , Live Entertainment"
Kraft Group,708189,52547,144042,0,0,500000,On the fence,"Recreation , Live Entertainment"
Wasserman Media Group,587425,587325,100,20000,0,0,Leans Democrat,"Recreation , Live Entertainment"
Tampa Bay Buccaneers,454400,0,454400,0,0,0,Leans Republican,"Recreation , Live Entertainment"
National Football League,326924,170319,155330,250,0,6871,Leans Democrat,"Recreation , Live Entertainment"
Arizona Diamondbacks,238899,153,138746,0,100000,0,Leans Republican,"Recreation , Live Entertainment"
Cleveland Browns,227925,1125,226800,0,0,0,Leans Republican,"Recreation , Live Entertainment"
Haslam Sports Group,175251,151,87600,0,87500,0,Leans Republican,"Recreation , Live Entertainment"
Major League Baseball,136776,76078,60000,300,0,0,Leans Democrat,"Recreation , Live Entertainment"
StubHub Inc,133329,133329,0,0,0,0,Leans Democrat,"Recreation , Live Entertainment"
Detroit Pistons,112691,112601,0,0,0,0,Leans Democrat,"Recreation , Live Entertainment"
Entertrainment Junction,103500,0,63500,0,40000,0,Leans Republican,"Recreation , Live Entertainment"
Arizona Cardinals,91182,682,53900,0,25000,0,Leans Republican,"Recreation , Live Entertainment"
Monumental Sports & Entertainment,88466,53565,9901,0,25000,0,Leans Democrat,"Recreation , Live Entertainment"
NASCAR,81693,12946,68247,0,0,0,Leans Republican,"Recreation , Live Entertainment"
Milwaukee Bucks,79630,79630,0,0,0,0,Leans Democrat,"Recreation , Live Entertainment"
Houston Texans,70063,21,45042,0,25000,0,Leans Republican,"Recreation , Live Entertainment"
Los Angeles Chargers,69502,5177,64325,0,0,0,Leans Republican,"Recreation , Live Entertainment"
Eberg Capital,59035,59035,0,0,0,0,Leans Democrat,"Recreation , Live Entertainment"
Orlando Magic,58835,35,8800,0,50000,0,Leans Conservative,"Recreation , Live Entertainment"
American Dental Assn,682536,326033,356075,32400,103,0,Leans Republican,Dentists
Heartland Dental Care,329881,2232,152255,150,175000,0,Leans Conservative,Dentists
American Assn of Orthodontists,232000,88500,143500,0,0,0,Leans Republican,Dentists
American Assn/Oral & Maxillofacial Surg,118500,41500,77000,0,0,0,Leans Republican,Dentists
American Academy of Pediatric Dentistry,74000,32500,41500,0,0,0,Leans Republican,Dentists
Oral Surgery Clinic of La Crosse,45977,0,45977,0,0,0,Leans Republican,Dentists
Bradley L Dickens Dds,25119,0,25119,0,0,0,Leans Republican,Dentists
Witt Assoc (Maryland),20800,20800,0,0,0,0,Leans Democrat,Dentists
McNa Dental Plans,17981,0,17981,0,0,0,Leans Republican,Dentists
Nimrat Heir DDS,17000,17000,0,0,0,0,Leans Democrat,Dentists
Ivory Dental,16600,0,16600,0,0,0,Leans Republican,Dentists
Best Dental Group,15394,0,15394,0,0,0,Leans Republican,Dentists
Prior Dental Hygienist,14338,0,14336,0,72,0,Leans Republican,Dentists
Palisades Periodontics Pa,13200,13200,0,0,0,0,Leans Democrat,Dentists
Kalmed Dental Products,12800,12800,0,0,0,0,Leans Democrat,Dentists
Kourosh Maddahi DDS,11600,2500,9100,0,0,0,Leans Republican,Dentists
Integrity Dental Services,11035,0,0,0,0,0,On the fence,Dentists
Tzagournis Dental Group,11014,0,11014,0,0,0,Leans Republican,Dentists
Oz Helmer DDS,10492,0,7292,0,3200,0,Leans Republican,Dentists
Voyich & Voyich Dental,10432,0,10432,0,0,0,Leans Republican,Dentists
Uline Inc,37432438,2472,2128165,0,35298418,0,Leans Conservative,"Manufacturing, Misc"
New Balance Athletics,4154554,4815,299200,500,3850000,0,Leans Conservative,"Manufacturing, Misc"
Haworth Inc,4135891,905,41556,0,4093400,0,Leans Conservative,"Manufacturing, Misc"
Next Generation Films,1262200,0,263200,0,999000,0,Leans Conservative,"Manufacturing, Misc"
Bruker Corp,1219332,11800,9556,0,1197126,850,Leans Conservative,"Manufacturing, Misc"
Honeywell International,1200224,618668,578860,355,79,0,Leans Democrat,"Manufacturing, Misc"
Melaleuca Inc,1016325,401,1015651,0,0,0,Leans Republican,"Manufacturing, Misc"
Honor Nyc,762146,487146,0,275000,0,0,Leans Democrat,"Manufacturing, Misc"
Scheels All Sports,518058,200,17858,0,500000,0,Leans Conservative,"Manufacturing, Misc"
Guess? Inc,500000,0,0,0,0,500000,On the fence,"Manufacturing, Misc"
Maclean-Fogg Co,474330,28,174277,0,358700,0,Leans Conservative,"Manufacturing, Misc"
Estee Lauder Companies,425493,120984,279234,0,0,0,Leans Republican,"Manufacturing, Misc"
Nike Inc,389331,230517,153004,2898,0,585,Leans Democrat,"Manufacturing, Misc"
U-Line Corp,377200,0,377200,0,0,0,Leans Republican,"Manufacturing, Misc"
DSB Technologies,374825,0,124825,0,250000,0,Leans Conservative,"Manufacturing, Misc"
Ashley Furniture,372119,905,371214,0,0,0,Leans Republican,"Manufacturing, Misc"
3M Co,325563,81594,91628,700,150000,0,Leans Conservative,"Manufacturing, Misc"
Airtech International,324942,0,324942,0,0,0,Leans Republican,"Manufacturing, Misc"
Techemet Lp,281100,0,196100,0,85000,0,Leans Republican,"Manufacturing, Misc"
Johnson Controls International,257492,141972,113780,825,0,0,Leans Democrat,"Manufacturing, Misc"
National Electrical Contractors Assn,317000,56000,261000,0,0,0,Leans Republican,Special Trade Contractors
Sheet Metal & Air Conditioning Contractors Assn,228500,118500,110000,0,0,0,Leans Democrat,Special Trade Contractors
Charles A Klein & Sons,217745,0,212195,0,5550,0,Leans Republican,Special Trade Contractors
MMR Group,186700,89000,97700,0,0,0,Leans Republican,Special Trade Contractors
Reliable Paving,162813,2011,154602,0,0,0,Leans Republican,Special Trade Contractors
National Roofing Contractors Assn,156500,31000,124000,0,0,0,Leans Republican,Special Trade Contractors
Cool Master Pro Llc,150350,0,150350,0,0,0,Leans Republican,Special Trade Contractors
Needham Roofing,112927,0,106327,0,6600,0,Leans Republican,Special Trade Contractors
Installed Building Products,101010,1000,10,0,100000,0,Leans Conservative,Special Trade Contractors
Dan'S Excavating Inc,100000,0,0,0,100000,0,Leans Conservative,Special Trade Contractors
Safeco Environmental Services,100000,0,0,0,100000,0,Leans Conservative,Special Trade Contractors
T&D Concrete,99027,0,99027,0,0,0,Leans Republican,Special Trade Contractors
Airman Services Inc,96351,87299,52,9000,0,0,Leans Democrat,Special Trade Contractors
MLU Services,80167,67,36700,0,43400,0,Leans Conservative,Special Trade Contractors
Mallett Air Conditioning,74900,0,74900,0,0,0,Leans Republican,Special Trade Contractors
Gaylor Electric,74308,45,74141,0,108,0,Leans Republican,Special Trade Contractors
National Assn of Landscape Professionals,61500,22000,39500,0,0,0,Leans Republican,Special Trade Contractors
Century Fence,56950,0,46450,0,10500,0,Leans Republican,Special Trade Contractors
Lindy Paving,56240,54825,1415,0,0,0,Leans Democrat,Special Trade Contractors
Scott Construction (Wisconsin),55550,0,55550,0,0,0,Leans Republican,Special Trade Contractors
American Assn of Nurse Anesthesiology,428500,202000,226500,0,0,0,Leans Republican,Nurses
American Nurses Assn,210397,111382,99005,0,0,0,Leans Democrat,Nurses
American Assn of Nurse Practitioners,149500,77000,72500,0,0,0,Leans Democrat,Nurses
Aya Healthcare,133027,120068,10823,0,0,0,Leans Democrat,Nurses
American College of Nurse-Midwives,7500,7500,0,0,0,0,Leans Democrat,Nurses
MDC Holdings,479271,21189,228067,0,130000,100000,Leans Republican,Home Builders
National Assn of Home Builders,464525,103103,361422,0,0,0,Leans Republican,Home Builders
ICI Homes,437165,0,37165,0,400000,0,Leans Conservative,Home Builders
Spencer Enterprises,334591,5223,329043,250,0,0,Leans Republican,Home Builders
Dream Finders Homes,321616,70,71545,0,250000,0,Leans Conservative,Home Builders
Cassidy Organization,260396,0,260396,0,0,0,Leans Republican,Home Builders
Intervest Construction of Jax,250000,0,0,0,250000,0,Leans Conservative,Home Builders
Manufactured Housing Institute,199300,51500,147800,0,0,0,Leans Republican,Home Builders
Medallion Homes,197425,0,197425,0,0,0,Leans Republican,Home Builders
Thomas Faulkner Architects,189963,128411,0,60552,0,0,Leans Democrat,Home Builders
Perry Homes,169083,6700,62383,0,100000,0,Leans Conservative,Home Builders
Adamant Homes,146800,0,146800,0,0,0,Leans Republican,Home Builders
AMD Homes,114650,112400,0,250,0,0,Leans Democrat,Home Builders
Breckenridge Construction (Texas),100000,0,0,0,100000,0,Leans Conservative,Home Builders
Grand Endeavor Homes,95076,0,20076,0,75000,0,Leans Conservative,Home Builders
Medallion Homes Gulf Coast,77600,0,5800,0,71800,0,Leans Conservative,Home Builders
Meritage Homes,76651,24791,20005,0,410,27410,On the fence,Home Builders
Homes By Westbay,66909,0,16806,0,50000,0,Leans Conservative,Home Builders
David Weekley Homes,60993,7305,53685,0,0,0,Leans Republican,Home Builders
Hunt Building,60500,0,50500,0,10000,0,Leans Republican,Home Builders
EMPOWER PARENTS PAC,82500000,0,0,0,82500000,0,Leans Conservative,"Ideological,Single-Issue"
Stand Together Chamber of Commerce,25000708,0,208,0,25000500,0,Leans Conservative,"Ideological,Single-Issue"
Majority Forward,18740000,0,0,18740000,0,0,Leans Liberal,"Ideological,Single-Issue"
Newsom For California Governor 2022,14620029,6187530,0,8432499,0,6187530,Leans Liberal,"Ideological,Single-Issue"
League of Conservation Voters,13118363,290427,0,12825858,0,0,Leans Liberal,"Ideological,Single-Issue"
American Action Network,12500750,0,0,0,12500750,0,Leans Conservative,"Ideological,Single-Issue"
Everytown For Gun Safety Action Fund,8666725,8215,0,8661510,0,0,Leans Liberal,"Ideological,Single-Issue"
Future Forward Usa Action,8418486,0,0,8418486,0,0,Leans Liberal,"Ideological,Single-Issue"
American Israel Public Affairs Cmte,8275111,4995386,3173425,0,0,50000,Leans Democrat,"Ideological,Single-Issue"
House Majority PAC,5640500,87500,0,5553000,0,0,Leans Liberal,"Ideological,Single-Issue"
Faithful & Strong Policies,5500000,0,0,0,5500000,0,Leans Conservative,"Ideological,Single-Issue"
One Nation,5181000,0,1000,0,5180000,0,Leans Conservative,"Ideological,Single-Issue"
Scalise for Congress,5059000,0,5059000,0,0,0,Leans Republican,"Ideological,Single-Issue"
Young Americans for Liberty,4889501,0,2114,0,4887387,0,Leans Conservative,"Ideological,Single-Issue"
GOPAC,3570670,0,25500,0,3545170,0,Leans Conservative,"Ideological,Single-Issue"
Mike Johnson for Louisiana,2862500,0,2862500,0,0,0,Leans Republican,"Ideological,Single-Issue"
ClearPath Foundation,2803550,0,600650,0,2200000,0,Leans Conservative,"Ideological,Single-Issue"
House Majority Forward,2728639,0,0,2728639,0,0,Leans Liberal,"Ideological,Single-Issue"
ClearPath Action,2624550,0,174550,0,2450000,0,Leans Conservative,"Ideological,Single-Issue"
